"bloco_pesquisa","marca","linha_modelo","sku_referencia","sku_ref","categoria_subcategoria","configuracao_formato","diametro_espessura","diametro_espessura_unidade","agulhas_pontas","pontas","taper","apresentacao","indicacao_de_aplicacao","indicacao_publicada_ou_uso_tecnico_conservador","indicacao_publicada_ou_cautela","presenca_comercial_no_brasil_especificacao_confirmada","presenca_no_brasil_especificacao","fonte_direta","linha_modelo_publicado","diametro","indicacao_publicada_ou_uso_conservador","diametro_espessura_agulhas_pontas_taper","apresentacao_publicada","configuracao_formato_diametro_espessura","agulhas_pontas_taper","indicacao_publicada_ou_cautela_tecnica","aplicacao_publicada_ou_indicacao_conservadora","especificacao_presenca_no_brasil","qtd_agulhas_pontas","diametro_espessura_quantidade_de_agulhas_pontas_taper","indicacao_do_fabricante_cautela","presenca_comercial_no_brasil_vs_especificacao"
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Reilly Tattoo","Vasigel Finalizador","não publicado","","Gel finalizador/cuidado pós-procedimento","gel em pote","","","","","","300 g","","","Finalizar tatuagens; ficha do distribuidor cita hidratação, redução de irritações, minimização de poros e sensação de frescor","Presença comercial no Brasil confirmada por distribuidor; especificação confirmada pelo distribuidor","","Equipa Art — Vasigel Reilly Tattoo 300 g","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Reilly Tattoo","Vaselina Reilly Tattoo","não publicado","","Vaselina/manteiga; lubrificante de processo","pote","","","","","","500 g","","","Ficha informa auxílio na redução do sangramento e facilitação da aplicação da tinta; uso durante procedimento","Presença comercial no Brasil confirmada por distribuidor; especificação confirmada pelo distribuidor","","Equipa Art — Vaselina Reilly Tattoo 500 g","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Mboah","Tattoo Coconut","não publicado","","Vaselina/manteiga; lubrificante de processo","pote","","","","","","440 g","","","Produto listado como vaselina para tatuagem; indicação específica e composição detalhada não publicados na página consultada — uso usual, confirmar com fabricante","Presença comercial no Brasil confirmada por distribuidor; volume confirmado; indicação técnica não confirmada pelo fabricante na fonte consultada","","Equipa Art — Mboah Tattoo Coconut 440 g","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Vaselina Jelly","Tattoo Jelly","não publicado","","Vaselina/manteiga; lubrificante de processo","pote","","","","","","200 g","","","Ficha de produto similar do distribuidor; linha descrita com vitaminas A e D em outra apresentação, mas composição/indicação do SKU de 200 g não detalhadas — uso usual, confirmar com fabricante","Presença comercial no Brasil confirmada por distribuidor; volume confirmado; especificação de composição do SKU não confirmada","","Equipa Art — Jelly 200 g","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Vaselina Jelly","Tattoo Jelly","não publicado","","Vaselina/manteiga; lubrificante de processo","pote","","","","","","440 g","","","Ficha informa vitaminas A e D e consistência especial; indicação conservadora: uso como lubrificante de processo — confirmar com fabricante","Presença comercial no Brasil confirmada por distribuidor; volume e vitaminas publicados pelo distribuidor","","Equipa Art — Jelly 440 g","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Vaselina Jelly","Tattoo Jelly","não publicado","","Vaselina/manteiga; lubrificante de processo","pote","","","","","","730 g","","","Ficha informa A&D e pantenol, pele preparada/hidratada/protegida; uso durante procedimento conforme descrição comercial — confirmar rótulo","Presença comercial no Brasil confirmada por distribuidor; volume e ativos publicados pelo distribuidor","","Equipa Art — Jelly 730 g","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Cosco","Tincture of Green Soap","não publicado","","Limpeza/preparo de pele; green soap concentrado","líquido concentrado","","","","","","473 ml e 3,75 L (1 gallon)","","","Limpeza/preparo e uso em stencil conforme distribuidor; diluição exata deve seguir rótulo/ficha do fabricante","Presença comercial em distribuidor internacional reconhecido; presença comercial brasileira não confirmada","","Barber DTS — 473 ml; Barber DTS — 1 gallon","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Panthera","Green Soap Concentrate","não publicado","","Limpeza/preparo de pele; green soap concentrado","concentrado líquido","","","","","","500 ml e 1 L, conforme listagem do distribuidor","","","Sabonete verde concentrado para limpeza; diluição e modo de uso não detalhados na listagem consultada — uso usual, confirmar com fabricante","Presença comercial em distribuidor reconhecido; presença brasileira não confirmada","","Barber DTS — Hygiene & Cleaning","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Unistar","Green Soap","não publicado","","Limpeza/preparo de pele","líquido","","","","","","1 L / 1000 ml","","","Green soap para limpeza; indicação detalhada e diluição não publicadas na página consultada — uso usual, confirmar com fabricante","Presença comercial em distribuidor reconhecido; presença brasileira não confirmada","","Barber DTS — Unistar Green Soap","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Biotat","Numbing Green Soap Concentrated","não publicado","","Limpeza durante procedimento; green soap concentrado","concentrado líquido","","","","","","tamanhos/volumes variáveis; não publicados integralmente na página de categoria","","","Produto listado como green soap concentrado com efeito anestésico pela linha; não cadastrar alegação anestésica sem rótulo/ficha regulatória","Presença comercial em distribuidor reconhecido; presença brasileira não confirmada","","Barber DTS — Hygiene & Cleaning","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Biotat","Numbing Green Soap Ready to Use","não publicado","","Limpeza durante procedimento; sabonete pronto para uso","líquido pronto para uso","","","","","","500 ml","","","Produto listado como green soap pronto para uso; finalidade detalhada e alegações anestésicas devem ser validadas no rótulo/ficha","Presença comercial em distribuidor reconhecido; presença brasileira não confirmada","","Barber DTS — Ready to Use 500 ml","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Proton","Blue Soap","não publicado","","Limpeza durante procedimento","líquido","","","","","","500 ml / 17 oz","","","Sabonete para limpeza; indicação técnica detalhada não publicada na listagem — uso usual, confirmar com fabricante","Presença comercial em distribuidor reconhecido; presença brasileira não confirmada","","Barber DTS — Proton Blue Soap","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Penny Black","Foam Wash — Bubblegum","não publicado","","Limpeza durante procedimento; espuma","espuma pronta para uso","","","","","","200 ml, apesar do slug mencionar 150 ml; priorizar título exibido e confirmar embalagem","","","Foam wash para limpeza; fragrância Bubblegum publicada; uso usual, confirmar com fabricante","Presença comercial em distribuidor reconhecido; presença brasileira não confirmada","","Barber DTS — Bubblegum","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Penny Black","Foam Wash — Raspberry","não publicado","","Limpeza durante procedimento; espuma","espuma pronta para uso","","","","","","200 ml","","","Foam wash para limpeza; fragrância Raspberry publicada; uso usual, confirmar com fabricante","Presença comercial em distribuidor reconhecido; presença brasileira não confirmada","","Barber DTS — Raspberry","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Proton","Pink Professional Stencil Primer Airless System","não publicado","","Preparo de pele; primer/gel de stencil","sistema airless","","","","","","250 ml / 8,5 oz","","","Primer profissional para stencil; cor Pink publicada; aplicar somente conforme instruções do rótulo","Presença comercial em distribuidor reconhecido; presença brasileira não confirmada","","Barber DTS — Proton Pink","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Proton","Blue Professional Stencil Primer Airless System","não publicado","","Preparo de pele; primer/gel de stencil","sistema airless","","","","","","250 ml / 8,5 oz","","","Primer profissional para stencil; cor Blue publicada; seguir rótulo","Presença comercial em distribuidor reconhecido; presença brasileira não confirmada","","Barber DTS — Proton Blue","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Proton","Black Label Professional Stencil Primer Airless System","não publicado","","Preparo de pele; primer/gel de stencil","sistema airless","","","","","","250 ml / 8,5 oz","","","Primer profissional para stencil; cor Black Label publicada; seguir rótulo","Presença comercial em distribuidor reconhecido; presença brasileira não confirmada","","Barber DTS — Proton Black Label","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Electrum","Skin Prep & Stencil Repositioner","não publicado","","Preparo de pele; reposicionador de stencil","líquido em frasco","","","","","","8 oz / 240 ml","","","Preparação da pele e reposicionamento de stencil, conforme nome e categoria do distribuidor; seguir instruções do fabricante","Presença comercial em distribuidor reconhecido; presença brasileira não confirmada","","Barber DTS — Electrum Skin Prep","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Stencil Stuff","The Original Stencil Stuff","não publicado","","Preparo de pele; solução/gel de stencil","solução/gel","","","","","","4 oz / 120 ml e 250 ml","","","Gel/solução para transferência de stencil; aplicação conforme fabricante; não confundir com lubrificante de processo","Presença comercial em distribuidor reconhecido; presença brasileira não confirmada","","Barber DTS — 120 ml; Barber DTS — 250 ml","","","","","","","","","","","","não aplicável","",""
"Preparo de pele, lubrificantes, vaselinas, gels, butters e limpeza durante procedimento","Hornet","Honey Stencil Gel","não publicado","","Preparo de pele; gel de stencil","gel","","","","","","250 ml","","","Gel de stencil; indicação derivada do nome/categoria da ficha — uso usual, confirmar com fabricante","Presença comercial em distribuidor reconhecido; presença brasileira não confirmada","","Barber DTS — Hornet Honey","","","","","","","","","","","","não aplicável","",""
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage 10-Pack Small","não publicado na página consultada","","Filme/curativo adesivo transparente","Pré-cortado, 4 x 4 in (10,2 x 10,2 cm)","","","","","","","","","","","","","","","","Espessura: não publicada; agulhas/pontas/taper: não aplicável","Pacote com 10 unidades; estéril e selado individualmente","","","","","","","","Novas tatuagens, abrasões, lacerações e proteção contra fricção; fabricante orienta margem mínima de 1 in e não usar por mais de 7 dias consecutivos","Especificação confirmada pelo fabricante; presença no Brasil não confirmada na fonte direta"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage 3-Pack Medium","não publicado na página consultada","","Filme/curativo adesivo transparente","Pré-cortado, 6 x 8 in (15,2 x 20,3 cm)","","","","","","","","","","","","","","","","Espessura: não publicada; agulhas/pontas/taper: não aplicável","Pacote com 3 unidades, estéreis e seladas individualmente","","","","","","","","Mesma indicação e protocolo do Original; primeira aplicação até 24 h, segunda 3–5 dias, limite consecutivo de 7 dias","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage 3-Pack Large","SDPP8V1","","Filme/curativo adesivo transparente","Pré-cortado, 8 x 10 in (20,3 x 25,4 cm)","","","","","","","","","","","","","","","","Espessura: não publicada; agulhas/pontas/taper: não aplicável","Pacote com 3 curativos estéreis, adesivos e transparentes","","","","","","","","Novas tatuagens, abrasões, lacerações e proteção de pele contra fricção; fabricante publica margem de 1 in","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage 25-Pack Large","não publicado na página consultada","","Filme/curativo adesivo transparente","Pré-cortado, 8 x 10 in","","","","","","","","","","","","","","","","Espessura: não publicada; agulhas/pontas/taper: não aplicável","Pacote profissional com 25 unidades","","","","","","","","Uso profissional para novas tatuagens e feridas superficiais conforme instruções do fabricante; confirmar disponibilidade e registro/importação antes do cadastro brasileiro","Especificação confirmada; presença comercial no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage Roll Small","não publicado na página consultada","","Filme/curativo em rolo","Rolo 4 in x 8 yd (10,2 cm x 7,32 m)","","","","","","","","","","","","","","","","Espessura: não publicada; agulhas/pontas/taper: não aplicável","Rolo profissional estéril/selado; unidade não publicada na página consultada","","","","","","","","Corte sob medida para cobrir a tatuagem e margem; fabricante indica barreira contra poeira, bactérias, umidade e fricção","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage Roll Medium","não publicado na página consultada","","Filme/curativo em rolo","Rolo 6 in x 8 yd (15,2 cm x 7,32 m)","","","","","","","","","","","","","","","","Espessura: não publicada; agulhas/pontas/taper: não aplicável","Rolo profissional","","","","","","","","Mesma indicação técnica do Original; seguir instruções do fabricante e avaliação da tolerância ao adesivo","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage Roll Large","não publicado na página consultada","","Filme/curativo em rolo","Rolo 8 in x 8 yd (20,3 cm x 7,32 m)","","","","","","","","","","","","","","","","Espessura: não publicada; agulhas/pontas/taper: não aplicável","Rolo profissional","","","","","","","","Mesma indicação técnica do Original","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Saniderm","Original Tattoo Bandage Roll Extra Large","SDRL10V1","","Filme/curativo em rolo","Rolo 10,2 in x 8 yd (25,9 cm x 7,32 m)","","","","","","","","","","","","","","","","Espessura: não publicada; agulhas/pontas/taper: não aplicável","1 rolo selado e estéril","","","","","","","","Novas tatuagens, abrasões, lacerações e proteção contra fricção; impermeável e respirável segundo o fabricante","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Recovery Aftercare","Derm Shield","não publicado na página consultada","","Filme/curativo adesivo para tatuagem","Filme cortado sob medida, aplicado com margem de 1–2 in","","","","","","","","","","","","","","","","Espessura: não publicada; agulhas/pontas/taper: não aplicável","Apresentação/medidas/quantidade: não publicadas na instrução consultada","","","","","","","","Primeira aplicação por 24 h conforme exsudação; segunda por vários dias; terceira se necessário; nenhuma peça por mais de 1 semana. Não aplicar em ferida infectada; cautela para alergia a adesivo","Fabricante publica instrução; presença comercial no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","H2Ocean","Blue Green Foam Soap","não publicado na página consultada","","Sabonete/espuma de limpeza pós-tatuagem","Espuma, sem fragrância, à base de água e sal marinho","","","","","","","","","","","","","","","","Pontas/agulhas/taper/diâmetro/espessura: não aplicável","No Extreme Kit: 1,7 oz; tamanho avulso adicional: não publicado na página consultada","","","","","","","","Limpeza de secreções, resíduos e bactérias; no kit, fabricante orienta 3–4 aplicações/dia; ingrediente ativo publicado: cloreto de benzalcônio 0,13%","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","H2Ocean","Ocean Care Tattoo Aftercare Skin Moisturizing Cream/Lotion","não publicado na página consultada","","Creme/loção hidratante pós-tatuagem","Loção sem fragrância, à base de água, enriquecida com vitaminas","","","","","","","","","","","","","","","","Não aplicável","No Extreme Kit: 74 g; apresentação avulsa: página publica produto, mas não medida no trecho consultado","","","","","","","","Hidratar e proteger; no Extreme Kit, substituir Aquatat a partir do terceiro dia e usar como hidratação posterior","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","H2Ocean","Ocean Foam Skin Moisturizing Foam","não publicado na página consultada","","Espuma hidratante/protetora","Espuma de barreira","","","","","","","","","","","","","","","","Não aplicável","Incluída no Ultimate Tattoo Care Kit; tamanho avulso não publicado no trecho consultado","","","","","","","","No Ultimate Kit, iniciar no segundo dia, em camada fina antes de dormir; fabricante descreve função de hidratar, proteger e “lock” da tinta","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","H2Ocean","Aquatat Tattoo Healing Ointment","não publicado na página consultada","","Pomada/bálsamo pós-tatuagem","Pomada fina, à base de petrolato","","","","","","","","","","","","","","","","Não aplicável","No Extreme Kit: 1,75 oz; avulsa: fabricante publica faixa de US$ 5–20, sem tamanho único confirmado no trecho","","","","","","","","No Extreme Kit, camada muito fina nos dois primeiros dias; fabricante a associa a redução de descamação/coceira, especialmente em áreas secas; não extrapolar para indicação médica","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","H2Ocean","Ultimate Tattoo Care Kit","não publicado na página consultada","","Kit de cuidados pós-tatuagem, sistema de 3 etapas","Blue Green Foam Soap + Ocean Care lotion + Ocean Foam","","","","","","","","","","","","","","","","Não aplicável","Kit completo; quantidades individuais não detalhadas na página consultada","","","","","","","","Fabricante descreve cuidado de todas as fases; sabonete 3–4 vezes/dia, loção após limpeza e Ocean Foam a partir do dia 2; indica uso em tatuagens de sombreado leve a costas inteiras","Produto publicado pelo fabricante; presença comercial no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","H2Ocean","Extreme Tattoo Care Kit","não publicado na página consultada","","Kit de cuidados pós-tatuagem, sistema de 3 etapas","Blue Green Foam Soap + Ocean Care moisturizer + Aquatat ointment","","","","","","","","","","","","","","","","Não aplicável","1,7 oz sabonete + 74 g hidratante + 1,75 oz pomada","","","","","","","","Fabricante orienta sabonete 3–4 vezes/dia, Aquatat nos dois primeiros dias e Ocean Care desde o terceiro; direcionado a áreas extremas/pele seca segundo a própria descrição","Produto publicado pelo fabricante; presença comercial no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Tattoo Goo","Antimicrobial Soap","não publicado na página consultada","","Sabonete líquido antimicrobiano","Frasco pump, sem fragrância e sem álcool","","","","","","","","","","","","","","","","Não aplicável; ativo publicado: chloroxylenol 0,5%","Frasco pump de 3 oz; a página informa que é a nova embalagem maior","","","","","","","","Limpeza profunda de tatuagens e piercings; fabricante orienta tatuagem 2–3 vezes/dia, enxaguar e secar por toque; não confundir com esterilidade","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Tattoo Goo","Pro Foam Soap","não publicado na página consultada","","Sabonete em espuma","Espuma","","","","","","","","","","","","","","","","Quantidade/ingredientes/apresentação: não publicados na página consultada","Não publicado","","","","","","","","Uso usual, confirmar com fabricante: limpeza suave de tatuagem; o produto aparece no catálogo oficial, mas a ficha consultada não permitiu confirmar tamanho e indicação detalhada","Existência da linha confirmada; especificação detalhada e presença no Brasil não confirmadas"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Tattoo Goo","Tattoo Care Lotion","não publicado na página consultada","","Loção hidratante pós-tatuagem","Loção","","","","","","","","","","","","","","","","Quantidade e composição: não publicados na página consultada","Não publicado","","","","","","","","Uso usual, confirmar com fabricante: hidratação de pele tatuada; a própria página do sabonete recomenda combinar com balm ou lotion, mas não publica ficha completa desta linha","Existência da linha confirmada; especificação detalhada e presença no Brasil não confirmadas"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Tattoo Goo","Tattoo Balm","não publicado na página consultada","","Bálsamo/pomada pós-tatuagem","Bálsamo","","","","","","","","","","","","","","","","Quantidade e composição: não publicados na página consultada","Não publicado","","","","","","","","Uso usual, confirmar com fabricante: hidratação/proteção de tatuagem em recuperação; não registrar como indicação terapêutica","Existência da linha confirmada; especificação detalhada e presença no Brasil não confirmadas"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Tattoo Goo","Tattoo Essentials Bundle","não publicado na página consultada","","Kit/bundle pós-tatuagem","Composição exata: não publicada na página consultada","","","","","","","","","","","","","","","","Não aplicável","Bundle; quantidade de componentes não publicada na ficha consultada","","","","","","","","Uso usual, confirmar com fabricante: conjunto de produtos de aftercare; não cadastrar componentes sem confirmar a composição vigente do bundle","Existência do bundle confirmada; composição e presença no Brasil não confirmadas"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Deluxe Tattoo Balm 1 fl oz","não publicado na página consultada","","Bálsamo pós-tatuagem","Pote/embalagem de 1 fl oz","","","","","","","","","","","","","","","","Não aplicável","1 fl oz, versão travel-ready","","","","","","","","Fabricante posiciona como balm para cuidado de tatuagem; indicação conservadora: hidratação/proteção cosmética durante recuperação, confirmar com fabricante","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Deluxe Tattoo Balm 5 fl oz","não publicado na página consultada","","Bálsamo pós-tatuagem","Pote de 5 fl oz","","","","","","","","","","","","","","","","Não aplicável","5 fl oz","","","","","","","","Cuidado cosmético da tatuagem durante e após a sessão conforme categorização oficial; não registrar como medicamento","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Fragrance-Free Tattoo Balm 1 fl oz","não publicado na página consultada","","Bálsamo pós-tatuagem sem fragrância","Pote de 1 fl oz","","","","","","","","","","","","","","","","Não aplicável","1 fl oz","","","","","","","","Bálsamo sem fragrância para cuidado de tatuagem; uso usual, confirmar com fabricante para protocolo individual","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Fragrance-Free Tattoo Balm 5 fl oz","não publicado na página consultada","","Bálsamo pós-tatuagem sem fragrância","Pote de 5 fl oz","","","","","","","","","","","","","","","","Não aplicável","5 fl oz","","","","","","","","Bálsamo sem fragrância para cuidado de tatuagem; uso usual, confirmar com fabricante","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Foaming Tattoo Soap","não publicado na página consultada","","Sabonete/espuma de limpeza","Espuma, versão de 7 fl oz e versão de 3,4 fl oz publicadas separadamente","","","","","","","","","","","","","","","","Não aplicável","3,4 fl oz e 7 fl oz","","","","","","","","Fabricante descreve como limpador para manter tatuagem nova limpa e substituto de green soap; uso externo e seguir rótulo","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Daily Rejuvenating Lotion","não publicado na página consultada","","Loção hidratante para cuidado diário","Loção","","","","","","","","","","","","","","","","Não aplicável","3 fl oz e apresentação regular sem volume explicitado no trecho consultado","","","","","","","","Cuidado diário para pele e tatuagens cicatrizadas; para tatuagem recém-feita, classificar como uso usual e confirmar protocolo","Especificação confirmada; presença no Brasil não confirmada"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Tattoo Aftercare Wrap Small","não publicado na página consultada","","Filme/curativo pós-tatuagem","Wrap pequeno; dimensões exatas não publicadas na página consultada","","","","","","","","","","","","","","","","Espessura: não publicada; não aplicável a agulhas/taper","Apresentação Small","","","","","","","","Fabricante descreve proteção de arte fresca durante cicatrização; tamanho exato, material e adesivo não publicados","Existência e tamanho comercial confirmados; especificação dimensional e presença no Brasil não confirmadas"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Hustle Butter","Tattoo Aftercare Wrap Large","não publicado na página consultada","","Filme/curativo pós-tatuagem","Wrap grande; dimensões exatas não publicadas na página consultada","","","","","","","","","","","","","","","","Espessura: não publicada; não aplicável a agulhas/taper","Apresentação Large","","","","","","","","Fabricante descreve proteção de arte fresca durante cicatrização; não inferir impermeabilidade, esterilidade ou tempo máximo sem ficha técnica","Existência e tamanho comercial confirmados; especificação dimensional e presença no Brasil não confirmadas"
"Pós-tatuagem: filmes, curativos, sabonetes, cremes e kits de cuidados","Bepanthen","Tattoo Intense Care Ointment","não publicado na fonte de distribuidor consultada","","Pomada/creme pós-tatuagem","Pomada em tubo","","","","","","","","","","","","","","","","Não aplicável","30 g publicado por distribuidores reconhecidos; Care to Beauty apresenta venda para o Brasil","","","","","","","","Distribuidor descreve cuidado intensivo/regeneração de pele tatuada e preservação das cores; confirmar fabricante local, rotulagem brasileira e indicação regulatória antes de vender/aplicar","Presença comercial no Brasil indicada pela página Care to Beauty; especificação de fabricante não validada diretamente no portal brasileiro do fabricante"
